vin,lat,lng,currentElectricity,averageEnergyConsumption,chargeStatus,bcuSOH
LS5A2DJX9KA002535,32.04438,118.76932,81,924057.6,3,90.5
LS6A2E0E7KA001496,32.02619,118.79605,96,1074790.4,3,100
LS5A2DJX9KA002101,29.59625,106.3033,62,983040,3,98.1
LS6A2E0E4KA002136,32.05868,118.80298,63,878182.44,3,100
LS6A2E0E2KA001888,31.97005,118.87266,94,930611.2,3,100
LS6A2E0E5KA001545,32.06214,118.91791,36,806092.8,1,100
LS5A2AJX7KA004640,27.23508,111.45414,71,1002700.8,3,96.200005
LS5A2DJX9KA002471,32.12018,118.8658,92,825753.6,3,99.6
LS6A2E0E7KA002518,31.98918,118.70524,82,930611.2,3,100
LS6A2E0E2KA001101,32.11576,118.78897,83,851968,3,100
LS5A2DJXXKA001085,32.23294,118.73245,96,943718.44,3,94.9
LS6A2E0E5KA001061,32.08307,118.77471,94,904396.8,3,100
LS6A2E0E9KA002410,31.92824,118.85734,83,924057.6,3,100
LS6A2E0E7KA001935,32.07668,118.76095,29,1101004.9,3,100
LS6A2E0E8KA009137,30.02456,121.3713,85,1238630.4,3,100
LS5A2DJX6KA002489,31.95473,118.8111,30,989593.6,1,99
LS6A2E0E2KA000983,32.04883,118.75177,87,806092.8,3,100
LS5A2DJX5KA004749,29.0596,106.12783,34,956825.6,3,100
LS5A2DJXXKA006531,29.65772,106.51199,88,989593.6,3,100
LS6A2E0E8KA002656,31.99676,118.78574,68,1028915.2,3,100
LS5A2DJX1KA002738,32.06951,118.76712,55,956825.6,1,99.1
LS5A2DJX5KA001138,32.10938,118.871,84,963379.2,3,95.8
LS6A2E0E6KA002493,32.02866,118.70948,46,865075.2,1,100
LS5A2AJXXKA004423,25.23703,110.27592,76,799539.2,3,99.4
LS5A2DJX3KA001185,32.02622,118.79605,72,1087897.6,3,100
LS6A2E0E7KA002406,32.13087,118.71002,75,832307.2,3,100
LS6A2E0E4KA010186,0,0,44,1074790.4,3,100
LS6A2E0E6KA010061,30.37088,120.17598,44,1022361.6,3,100
LS6A2E0E9KA002908,31.96798,118.79165,75,996147.2,3,100
LS5A2DJX2KA004692,29.5552,106.5337,88,1199308.9,3,100
LS5A2DJX4KA002961,32.10795,118.80676,66,956825.6,3,93.5
LS6A2E0E8KA002902,32.06257,118.77655,74,989593.6,3,100
LS6A2E0E4KA003190,32.05409,118.72948,84,897843.2,3,100
LS5A2AJX2KA002066,29.70414,106.62243,67,989593.6,3,92.3
LS6A2E0E2KA001826,31.94645,118.66016,65,950272,3,100
LS5A2DJX2KA004692,29.55464,106.53285,88,1199308.9,3,100
LS6A2E0E7KA002955,32.11434,118.76992,92,950272,3,100
LS6A2E0E0KA001615,0,0,81,983040,3,100
LS6A2E0E4KA002542,32.06609,118.61447,88,858521.6,3,100
LS6A2E0E0KA001078,32.02484,118.74078,68,806092.8,1,100
LS5A2DJX7KA002159,32.11852,118.93059,84,871628.8,3,97.5
LS6A2E0E0KA001095,32.03708,118.74266,79,865075.2,3,100
LS6A2E0E2KA009859,30.37013,120.17664,47,1035468.8,3,100
LS6A2E0E9KA009938,30.37021,120.17668,43,1048576,3,100
LS6A2E0E1KA001087,0,0,95,825753.6,3,100
LS5A2AJX2KA004027,35.11872,119.30807,51,1002700.8,3,100
LS5A2AJX8KA003366,26.39741,111.31011,69,891289.6,3,91.8
LS5A2DJX7KA005305,29.51562,106.5715,87,878182.44,3,100
LS6A2E0E5KA002467,32.02404,118.82442,98,989593.6,1,100
LS5A2DJX7KA002968,32.03042,118.7867,87,1186201.6,3,89.6
LS5A2AJX2KA004142,35.05704,110.99576,56,917504,3,100
LS6A2E0EXKA001928,32.11916,118.93094,68,865075.2,3,100
LS5A2DJX2KA003123,32.0605,118.64205,99,1015808,3,97.9
LS6A2E0E5KA001545,32.06205,118.91796,29,806092.8,1,100
LS6A2E0E9KA002827,32.06177,118.90958,69,871628.8,1,100
LS6A2E0EXKA001072,31.92061,118.87176,74,891289.6,3,100
LS6A2E0E1KA007259,29.62056,106.54409,72,878182.44,3,100
LS6A2E0E8KA008988,29.691,121.2802,91,917504,3,100
LS5A2DJX4KA001275,31.94367,118.63999,28,904396.8,3,97.9
LS5A2DJX7KA001027,32.06694,118.77979,80,924057.6,3,100
LS5A2AJX6KA003978,37.48039,121.29696,78,917504,3,100
LS5A2DJX7KA002565,31.98322,118.82963,74,924057.6,3,94.5
LS5A2AJX2KA002018,29.54392,106.58201,56,1022361.6,3,96.9
LS6A2E0E1KA009013,29.46202,121.88676,50,1009254.44,3,100
LS5A2DJX8KA002123,32.07109,118.6462,59,983040,3,100
LS5A2DJX1KA002562,31.89845,118.78392,100,1048576,3,97.4
LS6A2E0EXKA002027,31.9535,118.84867,45,924057.6,3,100
LS5A2DJX6KA002170,31.96299,118.78118,92,976486.44,3,96.200005
LS6A2E0E2KA009795,30.37095,120.17608,48,1015808,3,100
LS5A2AJX1KA003466,35.08092,111.03431,100,976486.44,3,100
LS5A2DJX7KA005644,0,0,87,917504,3,99.6
LS6A2E0EXKA001069,32.08311,118.76221,63,819200,3,99.9
LS5A2DJX8KA002512,29.66763,106.55668,95,865075.2,3,99.4
LS5A2DJX0KA001046,32.02364,118.77596,78,963379.2,3,100
LS6A2E0E5KA009368,0,0,84,917504,3,100
LS5A2AJX7KA004153,27.7881,120.65725,28,917504,3,100
LS6A2E0E6KA001733,32.1226,119.00531,77,806092.8,3,100
LS6A2E0E4KA002220,32.04494,118.76358,60,976486.44,3,100
LS6A2E0E6KA002073,32.03653,118.73161,37,806092.8,3,100
LS6A2E0EXKA001590,0,0,87,943718.44,3,100
LS5A2DJXXKA002897,31.93674,118.8487,56,806092.8,3,91.8
LS6A2E0E8KA009168,29.43678,113.16519,23,1166540.9,3,100
LS5A2DJX5KA002807,31.95064,118.84096,87,1081344,3,97.200005
LS5A2DJXXKA001085,32.23127,118.73469,93,943718.44,1,94.9
LS6A2E0E8KA002656,32.01656,118.78,69,1028915.2,3,100
LS5A2DJX9KA002812,32.08533,118.89938,76,924057.6,3,100
